STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Missouri,1994,852324.0,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316.0,443146
Montana,1994,163968.0,878986,83029,446392,349565,878084,508299,271711,36336.0,50333
Nebraska,1994,283962.0,1710913,101579,528743,1080591,1769248,1033858,447649,63108.0,173484
Nevada,1994,235800.0,1266549,56664,817216,392669,1344245,654272,406932,44739.0,184082
New Hampshire,1994,181688.0,1145147,37805,89556,1017786,1119762,648513,316069,38919.0,34260
New Jersey,1994,651554.0,6957898,293378,3102722,3561798,6765105,3522248,2430560,268715.0,320715
New Mexico,1994,286759.0,1342868,164101,982237,196530,1223759,622138,391385,63549.0,129528
New York,1994,2702937.0,23933662,1442038,9092275,13399349,25359726,14829280,6782725,992378.0,1717307
North Carolina,1994,1131662.0,5648390,454682,3553217,1640491,5740906,3161072,1629603,362721.0,490626
North Dakota,1994,118778.0,603902,65506,247062,291334,621313,319014,158223,46522.0,50938
Ohio,1994,1816817.0,10735756,537642,4271944,5926170,10780138,5785984,3675789,472696.0,658754
Oklahoma,1994,316322.0,1518540,120788,839113,558639,1529205,765718,473061,116301.0,129800
Oregon,1994,518425.0,3088542,212544,1215471,1660527,3191792,1719357,1068111,110201.0,223352
Pennsylvania,1994,1720681.0,13271564,686113,5132066,7453385,13701725,7100564,3795048,703486.0,963256
Rhode Island,1994,144918.0,1012987,48443,385626,578918,994885,642068,300816,14152.0,14866
South Carolina,1994,634415.0,3179542,285908,1470131,1423503,3156251,1646310,961618,211713.0,251078
South Dakota,1994,108439.0,507927,51846,126591,329490,525289,284638,148152,23351.0,52745
Tennessee,1994,857014.0,3535898,341912,1694595,1499391,3661470,2101003,996094,225590.0,270608
Texas,1994,3601627.0,19713604,1456330,8569649,9687625,19224149,9814470,6093204,936331.0,1717181
Utah,1994,469811.0,1792011,125520,982848,683643,1846448,997141,413388,137271.0,256177
Vermont,1994,98377.0,892124,34989,219927,637208,869710,419793,203059,25011.0,38902
Virginia,1994,1044721.0,6125739,372866,2399644,3353229,6276362,3271356,1883438,314439.0,587495
Washington,1994,915952.0,5739012,327784,3978265,1432963,5968590,2918426,1741684,252127.0,840257
West Virginia,1994,313750.0,1854403,147289,1185501,521613,1843973,1051169,507996,116579.0,151404
Wisconsin,1994,843747.0,5682439,238786,2363863,3079790,5860230,3257526,1689034,193556.0,504767
Wyoming,1994,100899.0,674921,38849,351472,284600,623146,344562,192234,21161.0,48647
Alabama,1995,727480.0,3367437,328957,2161366,877114,3353363,1851700,888983,326956.0,243365
Alaska,1995,125421.0,1117068,123037,710028,284003,1203817,515914,469085,37579.0,159146
Arizona,1995,735018.0,3815218,376437,1669173,1769608,4056279,1772388,1131046,226507.0,710135
Arkansas,1995,447757.0,2057550,197556,1244457,615537,2155067,1211057,598109,119934.0,160693
California,1995,5299405.0,29512214,2612241,15541486,11358487,30097549,16146416,8603751,2181053.0,2669270
Colorado,1995,639805.0,3709875,201341,1577988,1930546,3766191,1896225,1174299,115636.0,449501
Connecticut,1995,489513.0,4420632,147466,1622686,2650480,4252186,2596475,1245242,137005.0,91833
Delaware,1995,106813.0,802018,51682,510473,239863,772669,431433,236288,35495.0,50074
District of Columbia,1995,80450.0,700111,65527,0,634584,708224,336543,301371,38207.0,32103
Florida,1995,2107514.0,13242710,938814,6519109,5784787,13473977,6113051,4077880,951023.0,2070572
Georgia,1995,1270948.0,7052825,458452,3652134,2942239,7292267,3813194,2009750,442434.0,898969
Hawaii,1995,183869.0,1173579,82547,1062296,28736,1157159,636952,328579,96922.0,94706
Idaho,1995,240448.0,1083215,80861,665768,336586,1108075,602038,301143,46107.0,134550
Illinois,1995,1897161.0,12236673,686758,4100518,7449397,11821661,6031588,3778799,457236.0,1023865
Indiana,1995,966622.0,6514934,292362,3335998,2886574,6377558,3145120,1760003,290661.0,643725
Iowa,1995,498837.0,3076971,141050,1381253,1554668,3100772,1614502,872640,127943.0,209808
Kansas,1995,460905.0,2826943,137424,1613143,1076376,2756682,1407359,881083,162631.0,177250
Kentucky,1995,639992.0,3508673,312742,2218928,977003,3415870,1890546,1112902,211275.0,143259
Louisiana,1995,797061.0,3791795,449360,1999375,1343060,3735603,2050103,1081590,289366.0,219314
Maine,1995,212154.0,1446745,78233,652626,715886,1438795,833366,391838,63055.0,70968
Maryland,1995,790938.0,5580123,270249,2059219,3250655,5610071,3064702,1768323,253194.0,458731
Massachusetts,1995,893727.0,7326904,265878,2095327,4965699,6706082,3681274,1840847,217956.0,259982
Michigan,1995,1604527.0,12500208,692600,8053624,3753984,12477806,6162390,3915929,947067.0,753611
Minnesota,1995,816695.0,5744447,235069,2919940,2589438,6155324,3109813,1526879,523268.0,662497
Mississippi,1995,503301.0,2118973,310290,1185162,623521,2160068,1189394,569686,164815.0,204426
Missouri,1995,862505.0,4852467,313295,2276277,2262895,4957215,2573557,1449433,262319.0,526263
Montana,1995,164109.0,911284,89446,449477,372361,899635,523380,281496,36492.0,46881
Nebraska,1995,285836.0,1832463,102783,560994,1168686,1874253,1041372,470308,66223.0,242244
Nevada,1995,250749.0,1367710,65007,860823,441880,1381200,705709,438671,48399.0,126131
New Hampshire,1995,186239.0,1197945,35162,83613,1079170,1232465,676601,347776,40081.0,80404
New Jersey,1995,1171658.0,11870183,397612,4369467,7103104,11961696,6065026,4166818,491691.0,719638
New Mexico,1995,327253.0,1646265,205847,1215392,225026,1540683,774207,494348,79707.0,171166
New York,1995,2738361.0,25063999,1368074,9932669,13763256,26540967,15693535,6970608,945437.0,1811288
North Carolina,1995,1155248.0,6076939,443689,3867404,1765846,6217951,3417870,1737660,387340.0,564673
North Dakota,1995,119288.0,642234,72116,256507,313611,621904,327382,159739,50761.0,39515
Ohio,1995,1829761.0,11368650,675770,4385097,6307783,11330046,6041768,3905229,510503.0,678965
Oklahoma,1995,609743.0,3156526,274027,1804537,1077962,3180275,1623941,921572,291242.0,295180
Oregon,1995,519284.0,3302062,224156,1521849,1556057,3255984,1789292,1060444,112701.0,213860
Pennsylvania,1995,1741698.0,13957035,714271,5401558,7841206,14135826,7562476,3908949,550426.0,963078
Rhode Island,1995,146609.0,1089859,55060,434056,600743,1056716,677240,308559,27613.0,18871
South Carolina,1995,638880.0,3389646,288860,1550416,1550370,3286673,1707358,998972,232372.0,262152
South Dakota,1995,135494.0,684882,65762,179725,439395,693964,380309,199942,30140.0,68754
Tennessee,1995,870594.0,3870164,332765,1855788,1681611,3958973,2245634,1020793,221723.0,394695
Texas,1995,3670007.0,20483376,1496378,8718907,10268091,20198924,10652067,5778548,1087321.0,2104954
Utah,1995,472589.0,1953833,134118,1055987,763728,2045331,1069735,435270,143824.0,348647
Vermont,1995,100317.0,934916,33672,224946,676298,891398,415719,208906,24883.0,36040
Virginia,1995,1060809.0,6354418,368088,2522258,3464072,6590998,3452911,1959389,337469.0,602745
Washington,1995,938314.0,5985425,345792,4091373,1548260,6200754,3078586,1833862,265076.0,785601
West Virginia,1995,310231.0,1916605,155738,1210730,550137,1925100,1104307,540560,128462.0,134365
Wisconsin,1995,865374.0,6006745,248319,2621263,3137163,6056854,3425341,1767790,204052.0,426714
Wyoming,1995,100314.0,634237,42456,303913,287868,642935,357039,198669,21975.0,48915
Alabama,1996,735912.0,3365113,334858,2138717,891538,3572283,1987018,935115,322883.0,286699
Alaska,1996,126189.0,1120346,123505,706116,290725,1240031,636959,365085,38996.0,179297
Arizona,1996,764681.0,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650.0,877190
Arkansas,1996,452907.0,2183384,192152,1296247,694985,2297381,1264275,636106,127007.0,203555
California,1996,5460484.0,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407.0,2580639
Colorado,1996,655679.0,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767.0,588209
Connecticut,1996,499815.0,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792.0,149327
Delaware,1996,108461.0,860410,48796,567123,244491,823530,447461,245924,34748.0,72077
District of Columbia,1996,79802.0,678874,57870,0,621004,703245,334893,312944,39956.0,15452
Florida,1996,2175352.0,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115.0,2042385
Georgia,1996,1311126.0,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934.0,1042930
Hawaii,1996,187104.0,1199019,91391,1079097,28531,1231550,671105,328131,103048.0,129266
Idaho,1996,243097.0,1134052,80486,718218,335348,1198223,642377,327291,47750.0,157468
Illinois,1996,1924970.0,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624.0,1112689
Indiana,1996,975455.0,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283.0,616866
Iowa,1996,502343.0,3258040,147878,1486426,1623736,3284185,1679091,931857,134624.0,242065
Kansas,1996,463008.0,2914544,140242,1658774,1115528,3007653,1468081,906796,169091.0,318829
Kentucky,1996,639531.0,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647.0,413638
Louisiana,1996,796087.0,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287.0,236616
Maine,1996,213601.0,1485138,78626,647382,759130,1465093,857253,398040,63537.0,62645
Maryland,1996,805544.0,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330.0,449601
Massachusetts,1996,912330.0,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882.0,360126
Michigan,1996,1631131.0,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888.0,919074
Minnesota,1996,827418.0,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475.0,762106
Mississippi,1996,503602.0,2241561,295014,1285429,661118,2268726,1238512,599427,166353.0,231093
Missouri,1996,873867.0,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616.0,568575
Montana,1996,165390.0,944623,90354,452250,402019,924259,538091,289907,37370.0,48074
Nebraska,1996,289251.0,1909834,100886,574359,1234589,1940808,1067391,497288,71038.0,247543
Nevada,1996,265041.0,1551169,67278,997400,486491,1608989,767237,483238,53033.0,229949
New Hampshire,1996,191004.0,1269380,40622,84837,1143921,1295106,725549,340457,42174.0,97166
New Jersey,1996,1193928.0,12389781,408872,4589725,7391184,12469216,6636622,4099193,469558.0,753213
New Mexico,1996,329661.0,1750519,215525,1281567,253427,1642517,798365,519816,81877.0,218014
New York,1996,2788343.0,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356.0,1835923
North Carolina,1996,1181600.0,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269.0,687268
North Dakota,1996,119102.0,655971,69370,267306,319295,657809,338326,169545,52456.0,52160
Ohio,1996,1837628.0,12172778,704629,4831397,6636752,11935582,6291682,4046180,532065.0,843253
Oklahoma,1996,616436.0,3185234,278281,1856294,1050659,3195426,1640558,948125,299920.0,255103
Oregon,1996,527769.0,3375710,192228,1822648,1360834,3509765,1879638,1104418,116224.0,305484
Pennsylvania,1996,1764117.0,14671368,760182,5629751,8281435,15048791,7960931,4101534,580399.0,1195395
Rhode Island,1996,148977.0,1135192,57826,459171,618195,1092459,699778,321959,24931.0,20181
South Carolina,1996,635678.0,3594408,287181,1870037,1437190,3493720,1820849,986157,235742.0,367884
South Dakota,1996,136394.0,710728,67493,209375,433860,689818,383377,201190,32183.0,56451
Tennessee,1996,881749.0,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847.0,460149
Texas,1996,3740260.0,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475.0,2667181
Utah,1996,474907.0,2035726,134703,1197910,703113,2150719,1132806,471430,153581.0,342609
Vermont,1996,101064.0,965238,36693,215657,712888,975817,424562,219243,23167.0,56478
Virginia,1996,1079854.0,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988.0,721139
Washington,1996,956572.0,6354593,366716,4288899,1698978,6578388,3222598,1927517,280214.0,895494
West Virginia,1996,306451.0,1958647,158572,1222505,577570,1936848,1131846,556873,130467.0,101350
Wisconsin,1996,869930.0,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389.0,617334
Wyoming,1996,99859.0,664057,41007,339629,283421,676305,360100,200228,21910.0,78444
Alabama,1997,737386.0,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955.0,420070
Alaska,1997,128143.0,1131950,145563,692364,294023,1237103,651935,372788,40973.0,152330
Arizona,1997,783552.0,4343262,405291,1907516,2030455,4432360,1977550,1252277,265183.0,678793
Arkansas,1997,457349.0,2355859,218137,1387107,750615,2379496,1291727,667439,158337.0,192204
California,1997,5595836.0,35614934,2850766,20560730,12203438,33862281,18160435,10040400,1792979.0,3088674
Colorado,1997,672634.0,4133275,205038,1784304,2143933,4398196,2188731,1205308,154175.0,678631
Connecticut,1997,507838.0,4788489,158453,1719703,2910333,4642835,2709106,1368262,164857.0,194220
Delaware,1997,110245.0,898926,56722,575855,266349,889631,486550,265674,39021.0,73946
District of Columbia,1997,78648.0,711625,73177,0,638448,686059,337401,272058,23494.0,53106
Florida,1997,2241298.0,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190.0,2111449
Georgia,1997,1346761.0,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635.0,1056516
Hawaii,1997,187653.0,1213792,95795,1088410,29587,1241375,685225,326596,105850.0,123704
Idaho,1997,245252.0,1200186,80754,747250,372182,1293705,680063,353044,51999.0,178703
Illinois,1997,1952892.0,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869.0,1598074
Indiana,1997,981546.0,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709.0,667028
Iowa,1997,502941.0,3406582,153160,1646498,1606924,3485339,1752717,983324,142001.0,295558
Kansas,1997,466368.0,3029537,152455,1682302,1194780,2949608,1476664,959322,180594.0,188156
Kentucky,1997,631592.0,3842885,341901,2381664,1119320,3903139,2120583,1133417,242137.0,324367
Louisiana,1997,808798.0,4106095,478008,2087903,1540184,4027228,2205048,1176952,303024.0,249895
Maine,1997,213241.0,1537085,74503,669487,793095,1527663,906697,405474,59141.0,71625
Maryland,1997,818583.0,6040883,292260,2343928,3404695,6217120,3359984,1893583,289761.0,592725
Massachusetts,1997,928519.0,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732.0,439273
Michigan,1997,1684261.0,13759710,806713,8728340,4224657,14235902,6777568,4401535,649063.0,1478950
Minnesota,1997,837847.0,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789.0,799154
Mississippi,1997,503979.0,2274700,305516,1253204,715980,2319324,1242701,629587,167473.0,244101
Missouri,1997,899750.0,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482.0,552305
Montana,1997,164464.0,989991,90565,465343,434083,972059,557840,303522,39685.0,59716
Nebraska,1997,290883.0,1994021,115783,630765,1247473,1946725,1081994,515148,77333.0,213672
Nevada,1997,282131.0,1701290,68131,1089122,544037,1905940,858110,526090,57372.0,369529
New Hampshire,1997,193524.0,1339186,44339,94550,1200297,1431472,758383,363154,43136.0,169477
New Jersey,1997,1216721.0,12910890,427260,4799701,7683929,13242022,7106433,4171762,496433.0,938533
New Mexico,1997,332849.0,1768148,231271,1287163,249714,1826524,884961,575080,90233.0,249670
New York,1997,2818497.0,26775074,1446691,10477889,14850494,28227561,16259479,7136050,933478.0,2561130
North Carolina,1997,1208695.0,6827952,471258,4258017,2098677,7007690,3704935,1869526,436235.0,848228
North Dakota,1997,118433.0,683331,75316,270361,337654,679692,351542,177522,52363.0,47992
Ohio,1997,1844245.0,12630491,728751,5124101,6777639,12421963,6449340,4011117,636681.0,1075506
Oklahoma,1997,620695.0,3413742,278209,1974522,1161011,3390894,1739943,1013092,317185.0,282622
Oregon,1997,537675.0,3477420,191660,1826329,1459431,3792572,1992346,1156521,127783.0,395441
Pennsylvania,1997,1781383.0,15184431,781493,5695856,8707082,15777276,8216134,4229482,598223.0,1400173
Rhode Island,1997,150433.0,1185534,63214,470876,651444,1175638,740878,336147,47227.0,21853
South Carolina,1997,641925.0,3874045,303240,2027332,1543473,3921465,1958816,1110236,246858.0,509633
South Dakota,1997,135601.0,747462,70568,265354,411540,711052,390953,206419,33050.0,63192
Tennessee,1997,886517.0,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981.0,479484
Texas,1997,3826366.0,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593.0,3147085
Utah,1997,479812.0,2187279,140044,1367806,679429,2178778,1176955,504640,160763.0,282827
